Date	Client File Number	Client File Merge	Bus Tickets (Number of)	Notes of Service	Food Provided for	Food Pounds	Clothing Items	Diapers	School Kits	Hygiene Kits	Referrals	Financial Support	Type of Bill Paid	Payer of Support	Field1	Field2	Field3
10/24/2002	564	20564	2		1		7					0.00					
9/18/2002	699	20699	2									0.00					
7/15/2002	726	20726	2		0		0	0	0	0							
7/17/2002	776	20776	2		0		0	0	0	0							
8/21/2002	793	20793	2									0.00					
10/9/2002	844	20844	2									0.00					
7/11/2002	970	20970	2		0		0	0	0	0							
9/19/2002	1129	21129	2		2							0.00					
7/10/2002	1215	21215	2		0		7	0	0	0							
9/9/2002	1215	21215	2									0.00					
10/7/2002	1250	21250	2	bus tickets								0.00					
7/18/2002	1267	21267	2		3		5					0.00					
9/10/2002	1301	21301	2									0.00					
9/11/2002	1301	21301	2									0.00					
7/25/2002	1313	21313	2									0.00					
7/29/2002	1327	21327	2		1							0.00					
7/29/2002	1331	21331	2									0.00					
10/7/2002	1364	21364	2	bus tickets								0.00					
10/14/2002	1368	21368	2									0.00					
10/23/2002	1372	21372	2	Clothing			2					0.00					
10/30/2002	1372	21372	2	Clothing			3					0.00					
8/20/2002	1373	21373	2									0.00					
9/11/2002	1376	21376	2									0.00					
9/13/2002	1376	21376	2									0.00					
10/7/2002	1376	21376	2									0.00					
11/11/2002	1376	21376	2									0.00					
5/30/2003	1376	21376	2									0.00					
9/26/2002	1380	21380	2									0.00					
8/21/2002	1389	21389	2				1					0.00					
8/20/2002	1426	21426	2									0.00					
12/11/2002	1450	21450	2									0.00					
9/25/2002	1451	21451	2									0.00					
11/20/2002	1451	21451	2				2					0.00					
12/9/2002	1451	21451	2									0.00					
9/27/2002	1521	21521	2									0.00					
11/1/2002	1521	21521	2									0.00					
9/3/2002	1523	21523	2									0.00					
9/4/2002	1523	21523	2									0.00					
9/23/2002	1547	21547	2									0.00					
11/11/2002	1555	21555	2									0.00					
9/26/2002	1559	21559	2		1							0.00					
10/10/2002	1609	21609	2	bus tickets								0.00					
10/14/2002	1629	21629	2		3							0.00					
11/18/2002	1757	21757	2		1							0.00					
12/9/2002	1757	21757	2									0.00					
11/25/2002	1798	21798	2									0.00					
12/4/2002	1819	21819	2									0.00					
5/30/2003	2234	22234	2									0.00					
7/2/2002	60	20060	1	socks	0		1	0	0	0							
8/7/2002	188	20188	1	Bus ticket								0.00					
10/30/2002	266	20266	1									0.00					
11/14/2002	402	20402	1				8	12				0.00					
11/12/2002	413	20413	1		1		11					0.00					
9/9/2002	699	20699	1		1							0.00					
9/9/2002	752	20752	1		1					1		0.00					
9/26/2002	793	20793	1									0.00					
9/9/2002	964	20964	1		1							0.00					
9/20/2002	1129	21129	1									0.00					
9/30/2002	1167	21167	1		1							0.00					
7/2/2002	1183	21183	1	Greyhound	0		0	0	0	0							
7/2/2002	1184	21184	1	Greyhound	0		0	0	0	0							
9/6/2002	1215	21215	1									0.00					
7/2/2002	1245	21245	1	Greyhound	0		0	0	0	0							
9/9/2002	1301	21301	1									178.00					
7/26/2002	1316	21316	1									2.00					
11/12/2002	1341	21341	1									0.00					
8/19/2002	1364	21364	1	Bus ticket								0.00					
10/2/2002	1372	21372	1									0.00					
11/6/2002	1372	21372	1									0.00					
10/1/2002	1376	21376	1									0.00					
10/29/2002	1376	21376	1									0.00					
8/22/2002	1398	21398	1				5					0.00					
9/4/2002	1477	21477	1		1		2					0.00					
9/17/2002	1477	21477	1				9					0.00					
9/9/2002	1497	21497	1		1							0.00					
9/12/2002	1510	21510	1		1							0.00					
9/26/2002	1560	21560	1		5		21					0.00					
9/26/2002	1562	21562	1		5							0.00					
11/13/2002	1608	21608	1									0.00					
6/5/2006	1738	21738	1	Financial Assistance		0						36.00					
11/20/2002	1774	21774	1	Financial Assistance								1.50					
11/25/2002	1800	21800	1		4							0.00					
6/28/2002	38	20038	0		0		12	0	0	0							
7/15/2002	56	20056	0	snacks	0		0	0	0	0							
7/11/2002	71	20071	0		2		18	0	0	0							
7/9/2002	77	20077	0		0		7	0	0	0							
7/11/2002	79	20079	0		0		8	0	0	0							
7/9/2002	89	20089	0		1		5	0	0	1							
6/27/2002	96	20096	0		1		0	0	0	0							
7/9/2002	101	20101	0		4		8	0	0	0							
7/2/2002	152	20152	0		2		0	0	0	0							
7/8/2002	156	20156	0		5		0	0	0	0							
7/9/2002	164	20164	0		2		18	0	0	0							
7/2/2002	175	20175	0		1		0	0	0	0							
6/24/2002	225	20225	0		1		0	0	0	0							
6/20/2002	265	20265	0		0		0	0	0	0							
7/8/2002	269	20269	0		5		0	0	0	0							
7/15/2002	282	20282	0		4		0	0	0	0							
7/5/2002	304	20304	0	$123.88	2		0	0	0	0		123.88					
6/27/2002	327	20327	0		2		9	0	0	0							
7/15/2002	355	20355	0		2		0	0	0	0							
7/11/2002	397	20397	0		1		0	0	0	0							
7/9/2002	402	20402	0		4		0	0	0	0							
6/27/2002	410	20410	0		1		0	0	0	0							
7/8/2002	424	20424	0		2		0	0	0	0							
7/2/2002	444	20444	0		1		0	0	0	0							
7/15/2002	444	20444	0		1		0	0	0	0							
6/24/2002	449	20449	0		5		0	0	0	0							
7/15/2002	449	20449	0		5		0	0	0	0							
7/16/2002	455	20455	0		1		2	0	0	0							
7/16/2002	463	20463	0		2		0	0	0	0							
6/27/2002	506	20506	0		4		0	0	0	0							
6/27/2002	508	20508	0		1		0	0	0	0							
7/8/2002	522	20522	0		1		0	0	0	0							
7/15/2002	526	20526	0		5		0	0	0	0							
7/10/2002	527	20527	0		0		5	0	0	0							
7/8/2002	550	20550	0		1		0	0	0	0							
6/27/2002	606	20606	0		1		0	0	0	0							
7/16/2002	612	20612	0		0		4	0	0	0							
7/8/2002	644	20644	0		1		0	0	0	0							
7/8/2002	662	20662	0		2		0	0	0	0							
7/9/2002	662	20662	0	razor	1		4		0	0							
7/15/2002	698	20698	0	$120	0		0	0	0	0		120.00					
6/27/2002	776	20776	0		0		10	0	0	0							
7/11/2002	776	20776	0		0		14	0	0	0							
7/9/2002	793	20793	0		4		5	0	0	0							
6/26/2002	795	20795	0		0		1	0	0	0							
6/27/2002	833	20833	0		0		3	0	0	0							
7/11/2002	833	20833	0		1		4	0	0	0							
6/24/2002	843	20843	0		4		0	0	0	0							
7/16/2002	844	20844	0	other	1		0	0	0	0							
7/11/2002	881	20881	0		1		0	0	0	0							
6/27/2002	882	20882	0		0		3	0	0	0							
7/16/2002	888	20888	0		4		0	0	0	0							
7/15/2002	895	20895	0		3		0	0	0	0							
7/11/2002	898	20898	0		1		2	0	0	0							
7/12/2002	934	20934	0		1		0	0	0	0							
7/16/2002	947	20947	0		2		5	0	0	0							
7/11/2002	964	20964	0		1		6	0	0	0							
7/11/2002	971	20971	0		1		2	0	0	0							
7/9/2002	979	20979	0		1		0	0	0	0							
7/8/2002	1016	21016	0		1		0	0	0	0							
6/27/2002	1029	21029	0		1		0	0	0	0							
7/15/2002	1031	21031	0		3		0	0	0	0							
6/27/2002	1037	21037	0		1		0	0	0	0							
6/27/2002	1038	21038	0		1		6	0	0	0							
7/1/2002	1068	21068	0		0		14	0	0	0							
6/27/2002	1082	21082	0		0		9	0	0	0							
7/2/2002	1127	21127	0		1		0	0	0	0							
7/15/2002	1157	21157	0		1		0	0	0	0							
7/16/2002	1167	21167	0		1		3	0	0	0							
7/9/2002	1180	21180	0		1		5	0	0	0							
6/27/2002	1183	21183	0		0		2	0	0	0							
6/27/2002	1184	21184	0		0		2	0	0	0							
6/27/2002	1187	21187	0		4		0	0	0	0							
7/11/2002	1194	21194	0		0		6	0	0	0							
7/16/2002	1202	21202	0		3		0	0	0	0							
7/16/2002	1203	21203	0		4		2	0	0	0							
7/1/2002	1205	21205	0		0		0	0	0	0							
7/15/2002	1205	21205	0		1		0	0	0	0							
7/16/2002	1208	21208	0	other	0		0	0	0	0							
7/15/2002	1213	21213	0		2		0	0	0	0							
7/2/2002	1214	21214	0		2		0	0	0	0							
6/28/2002	1216	21216	0		0		2	0	0	0							
7/15/2002	1217	21217	0		2		0	0	0	0							
7/10/2002	1218	21218	0		0		7	0	0	0							
7/15/2002	1219	21219	0		3		0	0	0	0							
7/17/2002	1220	21220	0	1 pair shoes	0		0	0	0	0							
7/17/2002	1221	21221	0				0					0.00					
7/10/2002	1224	21224	0		0		0	0	0	0							
7/11/2002	1224	21224	0		0		5	0	0	0							
7/17/2002	1225	21225	0	socks	0		3	0	0	0							
7/9/2002	1232	21232	0		0		2	0	0	0							
7/11/2002	1233	21233	0		0		32	0	0	0							
7/11/2002	1234	21234	0		1		7	0	0	0							
7/11/2002	1235	21235	0		1		5	0	0	0							
7/9/2002	1237	21237	0		2		5	0	0	1							
7/9/2002	1238	21238	0		2		0	0	0	0							
7/15/2002	1239	21239	0		1		0	0	0	0							
7/8/2002	1240	21240	0		1		0	0	0	0							
7/9/2002	1241	21241	0		5		5	0	0	1							
7/2/2002	1243	21243	0		1		0	0	0	0							
6/26/2002	1246	21246	0		0		1	0	0	0							
7/2/2002	1247	21247	0		1		0	0	0	0							
7/1/2002	1248	21248	0		0		14	0	0	0							
7/15/2002	1248	21248	0		1		0	0	0	0							
7/15/2002	1251	21251	0		3		0	0	0	0							
7/1/2002	1252	21252	0		0		1	0	0	0							
7/9/2002	1253	21253	0		4		5	0	0	0			water bill	Gary Bauer			
7/11/2002	1254	21254	0		0		61	0	0	0							
7/12/2002	1255	21255	0		0		3	0	0	0							
7/9/2002	1256	21256	0		1		7	0	0	0							
7/9/2002	1258	21258	0		1		0	0	0	0							
6/28/2002	1262	21262	0		0		8	0	0	0							
7/11/2002	1263	21263	0		1		0	0	0	0							
7/11/2002	1280	21280	0		1		3	0	0	0							
7/2/2002	1283	21283	0		2		0	0	0	0							
7/8/2002	1283	21283	0		0		0	0	0	0							
7/8/2002	1284	21284	0		1		0	0	0	0							
7/10/2002	1285	21285	0		0		6	0	0	0							
6/24/2002	1318	21318	0	got clothing	0		0	0	0	0							
7/16/2002	1335	21335	0		1		0	0	0	0							
6/27/2002	1365	21365	0		1		0	0	0	0							
7/9/2002	1365	21365	0		1		0	0	0	0							
6/27/2002	1366	21366	0		1		0	0	0	0							
7/9/2002	1434	21434	0		1		5	0	0	0							
7/11/2002	1434	21434	0		0		3	0	0	0							
8/29/2002	1458	21458	0		0		0	0	0	0							
6/27/2002	1747	21747	0		0		10	0	0	0							
2/9/1999	1	20001		clothing	4												
2/23/1999	1	20001		clothing	4												
3/3/1999	1	20001		clothing	4												
3/8/1999	1	20001		clothing	4												
4/26/1999	1	20001		clothing	4												
6/1/1999	1	20001		clothing	3												
7/12/1999	1	20001		clothing	3												
10/12/1999	1	20001		clothing	3												
11/8/1999	1	20001		clothing	3												
1/24/2000	1	20001			3												
1/31/2000	1	20001		clothing	4												
3/6/2000	1	20001			4												
3/30/2000	1	20001		clothing	4												
4/14/2000	1	20001			4												
6/5/2000	1	20001		clothing	4												
7/8/2000	1	20001		clothing	4												
9/14/2000	1	20001		clothing	4												
12/7/2000	1	20001		clothing	4												
2/27/2001	1	20001		clothing	5												
5/8/2001	1	20001		clothing	4												
6/26/2001	1	20001		21 Pieces	5												
8/7/2001	1	20001		No clothing till winter	5												
1/29/2002	1	20001			6												
6/1/2004	1	20001			7		20					0.00					
10/14/2003	2	20002			4		12					0.00					
6/18/1997	3	20003		left with nothing	0												
11/4/1997	3	20003			4												
12/4/1997	3	20003			2												
8/27/1998	3	20003			4												
6/22/2000	3	20003			4												
6/18/2001	3	20003		clothes for five persons	0												
7/31/2001	3	20003			6												
8/14/2001	3	20003		"4 pr shoes, 6 dresses, 10 jeans, 3 slacks, 1 pj, 1 underwear"	6												
5/23/2002	3	20003		"6 shoes, 5 dresses, 6 shirts, 8 pants, 2 underwear"	6												
6/13/2002	3	20003		clothes	6												
3/11/2004	3	20003			6		2					0.00					
7/22/2004	3	20003			6		25					0.00					
10/28/2004	3	20003			6		15					0.00					
5/1/1931	4	0			1	15	10					0.00					
10/22/1996	4	20004			1												
11/5/1998	4	20004			1												
11/10/1998	4	20004		clothes	0												
8/11/2001	4	20004			1												
8/14/2001	4	20004		Hygiene	1												
10/16/2001	4	20004			1												
1/23/2002	4	20004			1												
8/8/2005	4	20004			1							0.00					
10/18/2005	4	20004			1		4					0.00					
12/12/2005	4	20004			1	10						0.00					
1/26/2006	4	20004			1	10	2					0.00					
3/16/2006	4	20004			1	10						0.00					
5/4/2006	4	20004			1	10						0.00					
6/15/2006	4	20004			1	10	2					0.00					
7/24/2006	4	20004			1	10						0.00					
8/29/2006	4	20004			1	10	3					0.00					
12/12/2006	4	20004			1	10	5					0.00					
1/17/2007	4	20004			1	10	4					0.00					
2/27/2007	4	20004			1	10						0.00					
3/26/2007	4	20004			1	10						0.00					
5/8/2007	4	0			1	10	4					0.00					
6/19/2007	4	0			1	10	6					0.00					
7/26/2007	4	0			1	10	4					0.00					
8/30/2007	4	0			1	10	5					0.00					
10/8/2007	4	0			1	10						0.00					
11/12/2007	4	0			1	10						0.00					
12/27/2007	4	0			1	10						0.00					
2/28/2008	4	0			1	10	4					0.00					
3/27/2008	4	0			1	10	0					0.00					
6/26/2008	4	0			1	10						0.00					
8/4/2008	4	0			2	15						0.00					
10/6/2008	4	0			2	15	5			1		0.00					
11/17/2008	4	0			2	15	5					0.00					
12/8/2008	4	0			2	15	5					0.00					
2/2/2009	4	0			2	15						0.00					
3/17/2009	4	0			2	15						0.00					
6/29/2009	4	0				0	4					0.00					
8/24/2009	4	0			2	15	21					0.00					
12/29/2009	4	0			2	15	0					0.00					
11/29/2010	4	0			2	20	3					0.00					
8/15/2011	4	0			2	20	14					0.00					
7/11/2012	4	0			2	20	15					0.00					
10/22/2012	4	0			2	20	7					0.00					
1/14/2013	4	0			2	20	15					0.00					
2/25/2013	4	0			1	15	8					0.00					
4/2/2013	4	0			1	15	5					0.00					
6/17/2013	4	0			1	15	3					0.00					
7/22/2013	4	0			1	15	10					0.00					
9/25/2013	4	0			1	15	6					0.00					
3/31/2014	4	0			1	15	3					0.00					
5/27/2014	4	0			1	15	10					0.00					
6/26/2014	4	0			1	15	6					0.00					
7/24/2014	4	0			1	15	5					0.00					
8/25/2014	4	0			1	15	6					0.00					
10/13/2014	4	0			1	15	3					0.00					
12/8/2014	4	0			1	15	6					0.00					
5/4/2015	4	0			1	15	9					0.00					
7/27/2015	4	0			1	15	6					0.00					
5/16/2016	4	0			1	15	6					0.00					
10/25/2016	4	0			1	15	4					0.00					
4/18/2017	4	0			1	15	4					0.00					
8/6/2001	7	20007		Clothing/Hygiene Kit	2												
8/7/2001	7	20007		10 clothes	0												
1/14/2003	7	20007		"food, clothes"	3		15					0.00					
2/25/2003	7	20007			3		20			1		0.00					
4/17/2003	7	20007			3		16					0.00					
9/25/2003	7	20007			4		6					0.00					
12/19/2003	7	20007			3							0.00					
1/15/2004	7	20007		clothes			19					0.00					
11/18/2004	7	20007			2		15			1		0.00					
3/1/2005	7	20007			2		8			1		0.00					
7/14/2005	7	20007			3		6					0.00					
3/2/2006	7	20007			2	15	13					0.00					
5/23/2006	7	20007			2	15	19					0.00					
6/20/2006	7	20007			2	15	11					0.00					
3/1/2007	7	20007			1	10	21					0.00					
7/23/2007	7	0			2	15						0.00					
9/4/2007	7	0			2	15	7					0.00					
10/4/2007	7	0			2	15	21					0.00					
11/7/2007	7	0			2	15	9					0.00					
12/4/2007	7	0			2	15	16					0.00					
2/5/2008	7	0			2	15	10					0.00					
5/6/2008	7	0			2	15	9					0.00					
7/8/2008	7	0			2	15	2					0.00					
8/7/2008	7	0			2	15	12					0.00					
10/9/2008	7	0			3	20	15					0.00					
11/3/2008	7	0			3	20	17	12		1		0.00					
11/6/2008	7	0			3	20	25					0.00					
12/9/2008	7	0			3	20	13					0.00					
1/8/2009	7	0			4	25	10			1		0.00					
3/24/2009	7	0			3	20	10					0.00					
4/8/2009	7	0			4	25	13					0.00					
9/8/2009	7	0			4	25	9					0.00					
10/8/2009	7	0			4	25	16					0.00					
11/9/2009	7	0				0	25					0.00					
1/11/2010	7	0			4	25	25					0.00					
4/15/2010	7	0			4	25	14					0.00					
5/13/2010	7	0			4	25	22					0.00					
8/10/2010	7	0			4	30	11					0.00					
10/4/2010	7	0			4	30						0.00					
11/8/2010	7	0				0	16					0.00					
12/8/2010	7	0			5	45	19					0.00					
1/5/2011	7	0			4	30	19					0.00					
2/10/2011	7	0			4	30	25					0.00					
3/7/2011	7	0			4	30	21			2		0.00					
4/6/2011	7	0			4	30	7					0.00					
5/11/2011	7	0			4	30	17					0.00					
6/9/2011	7	0			3	25	5					0.00					
7/13/2011	7	0			4	30	8					0.00					
9/7/2011	7	0			4	30	5					0.00					
12/8/2011	7	0			4	30	5					0.00					
1/17/2012	7	0			4	30	20					0.00					
3/13/2012	7	0			4	30	17					0.00					
4/18/2012	7	0			4	30	24					0.00					
5/9/2012	7	0			4	30	6					0.00					
8/6/2012	7	0			4	30	15					0.00					
6/18/2014	7	0			4	30	2					0.00					
11/5/2014	7	0			4	30	7					0.00					
12/10/2014	7	0			4	30	15					0.00					
8/18/2015	7	0			5	45	9					0.00					
8/2/2016	7	0			5	45	8					0.00					
11/10/2016	7	0			5	45	12					0.00					
3/8/2018	7	0			4	38	9					0.00					
8/2/2001	8	20008			3												
8/2/2001	9	20009		"9 tops, 1 hat, 1 pant (children)"	4												
11/20/2008	9	0			4	25	5					0.00					
6/20/2013	9	0			3	25	19					0.00					
7/18/2013	9	0			3	25	14					0.00					
10/1/2013	9	0			3	25	10					0.00					
3/25/2014	9	0			2	20	14					0.00					
5/7/2014	9	0			3	25	15					0.00					
6/5/2014	9	0			3	25	20					0.00					
7/17/2014	9	0			3	25	18					0.00					
4/23/1999	10	20010			3												
5/4/1999	10	20010		8 units of clothing	3												
8/5/1999	10	20010		"2 books(?), 25 tops, 7 shorts, 1 sweatshirt, 1 bra, 1 hat, toys"	3												
10/21/1999	10	20010		hygiene kit (2)	3												
11/22/1999	10	20010			3												
1/13/2000	10	20010		"1 sweatsuit, 8 pants, 3 panties, 5 bras, 8 mens under shorts, 2 gowns, 6 skirts, 3 jackets"	3												
2/17/2000	10	20010		"2 pocketbooks, 2 pants, 2 socks, 1 tight, 1 ti-shirt"	3												
4/25/2000	10	20010		"2 dresses, 5 skirts, 2 sweaters, 1 jacket, 2 jeans, pocketbook"	3												
6/26/2000	10	20010		3 items clothing	3												
9/15/2000	10	20010			3												
11/20/2000	10	20010		blanket and coat for daughter	3												
1/15/2001	10	20010		clothes	3												
3/23/2001	10	20010			3												
3/27/2001	10	20010		"4 shorts, 5 tops, 1 pr pants, 1 pr pillowcases"	0												
8/7/2001	10	20010		12 units of clothing/ school supplies/hygiene kits	3												
10/15/2001	10	20010			3												
10/16/2001	10	20010		"skirts, sheet, childrens pants, jacket, skirt, undershirt, and other clothes"	0												
2/12/2002	10	20010		"2 shirts, 1 sweater, 1 blanket, 1 shoes, 2 pants, 1 jacket"	0												
11/19/2002	10	20010			3		13					0.00					
2/18/2003	10	20010			3		16			1		0.00					
8/6/2001	12	20012			2												
8/3/2001	13	20013			4												
11/26/2002	13	20013			5							0.00					
2/6/2003	13	20013			3		14					0.00					
5/29/2003	13	20013			1		7					0.00					
8/5/2003	13	20013					1					0.00					
5/3/2005	13	20013					6					0.00					
5/23/2005	13	20013								1		0.00					
6/14/2005	13	20013					8					0.00					
7/12/2005	13	20013					2					0.00					
9/13/2005	13	20013					8					0.00					
10/13/2005	13	20013					10					0.00					
12/13/2005	13	20013				0	36					0.00					
4/4/2006	13	20013				0	3					0.00					
6/27/2006	13	20013				0	10					0.00					
1/6/2000	15	20015			2												
1/20/2000	15	20015			2												
1/22/2001	15	20015			3												
2/13/2001	15	20015		clothing	3												
5/7/2001	15	20015		clothing	3												
5/29/2001	15	20015			3												
8/2/2001	15	20015		"3 shorts, 3 tops, 1 jacket, bag of silverware, 3 pr shoes, 1 jacket, 1 top, pampers"	3												
10/4/2001	15	20015			4												
10/30/2001	15	20015		clothing	0												
1/23/2002	15	20015		clothing													
7/24/2003	15	20015			5		10					0.00					
9/10/2007	15	0			5	30		12				0.00					
9/11/2007	15	0				0	43					0.00					
10/11/2007	15	0			5	30	65	12				0.00					
11/19/2007	15	0			5	30						0.00					
11/20/2007	15	0				0	60	12				0.00					
3/13/2008	15	0			5	30	20					0.00					
4/7/2008	15	0			5	30						0.00					
6/5/2008	15	0			6	40	36					0.00					
6/30/2008	15	0			5	30	25					0.00					
8/4/2008	15	0			5	30	25					0.00					
9/4/2008	15	0			5	30	42					0.00					
10/20/2008	15	0			5	30	25					0.00					
1/13/2009	15	0			5	30	17					0.00					
2/9/2009	15	0			5	30	25			1		0.00					
3/26/2009	15	0			5	30	15					0.00					
4/13/2010	15	0			5	30	25					0.00					
5/11/2010	15	0			5	30	31					0.00					
6/10/2010	15	0			6	40	25					0.00					
7/15/2010	15	0			6	50	30					0.00					
8/2/2001	16	20016		"1 suitcase, 1 shirt, 1 sweater"	4												
8/14/2001	17	20017		10 socks/swim trunks	0												
5/23/2002	17	20017		clothing	4												
7/25/2002	17	20017		12 sanitary napkins	4		3					0.00					
7/26/2002	17	20017								1		0.00					
8/20/2002	17	20017			4		17					0.00					
10/31/2002	17	20017			4		1					0.00					
12/3/2002	17	20017			4							0.00					
5/13/2003	17	20017					1					0.00					
3/25/2004	17	20017		Financial assistance								30.00					
2/29/2000	18	20018		clothing	0												
6/18/2001	18	20018			1												
7/23/2001	18	20018			1												
11/12/2001	18	20018			1												
12/13/2001	18	20018		clothes	1												
2/25/2002	18	20018			1												
3/19/2002	18	20018			1												
4/25/2002	18	20018			1												
5/30/2002	18	20018		clothes	1												
6/25/2002	18	20018			1												
9/26/2002	18	20018			1					1		0.00					
4/25/2005	18	20018			1							0.00					
3/20/2006	18	20018			1	10						0.00					
4/11/2006	18	20018			1	10	5					0.00					
8/15/2006	18	20018			1	10						0.00					
9/12/2006	18	20018			1	10						0.00					
11/2/2006	18	20018			1	10						0.00					
4/19/2007	18	0			1	10						0.00					
5/21/2007	18	0			1	10						0.00					
6/21/2007	18	0			1	10						0.00					
7/19/2007	18	0			1	10	7					0.00					
10/18/2007	18	0			2	15						0.00					
11/27/2007	18	0			1	10						0.00					
1/15/2008	18	0			1	10	9					0.00					
2/7/2008	18	0			1	10	12					0.00					
4/1/2008	18	0			1	10	28					0.00					
5/27/2008	18	0			1	10						0.00					
6/12/2008	18	0				0	5					0.00					
7/29/2008	18	0				0	5					0.00					
8/21/2008	18	0			1	10	8					0.00					
8/27/2008	18	0				0	13					0.00					
9/11/2008	18	0			1	10	15					0.00					
10/13/2008	18	0			1	10	6					0.00					
10/23/2008	18	0			1	10	8					0.00					
11/20/2008	18	0			1	10	3			1		0.00					
12/16/2008	18	0			1	10	2					0.00					
2/9/2009	18	0			1	10	1					0.00					
4/1/2009	18	0			1	10						0.00					
2/23/2010	18	0			1	10						0.00					
6/24/1999	19	20019			2												
7/29/1999	19	20019			2												
9/30/1999	19	20019			2												
1/11/2001	19	20019		clothing	2												
7/12/2001	19	20019		"2 pair shoes, 2 blouses, 1 shirt, 1 sweater, 1 coat, 1 shorts"	2												
8/4/2001	19	20019		clothing	2												
8/14/2001	19	20019		"1 coat, 1 pants, 1 shortset, 1 pocketbook,1 t-shirt, 3 dresses, 7 towels, 2 sweaters, 2 jackets"	2												
9/21/2001	19	20019			2												
10/18/2001	19	20019		toilettries	0												
8/16/2001	20	20020			2												
10/4/2007	20	0			1	10	10					0.00					
11/27/2007	20	0			1	10	2					0.00					
4/14/2010	20	0			1	10	3					0.00					
5/20/2010	20	0			2	15	4					0.00					
8/12/2010	20	0			2	20	4					0.00					
2/22/1999	21	20021		clothing	1												
6/15/1999	21	20021		clothing	1												
6/22/1999	21	20021		clothing	0												
7/24/2000	21	20021			1												
8/11/2000	21	20021		hygiene kit	1												
10/10/2000	21	20021		clothes	1												
5/31/2001	21	20021		clothing	0												
6/28/2001	21	20021		clothing	2												
8/2/2001	21	20021		Hygiene Kit	0												
11/16/2001	21	20021		hygiene kit	1												
12/4/2001	21	20021		clothing	0												
5/14/2002	21	20021		clothing	0												
6/13/2002	21	20021		clothing	4												
8/28/2002	21	20021					9			1		0.00					
10/21/2002	21	20021		hygiene kit						1		0.00					
11/13/2002	21	20021					4					0.00					
1/14/2003	21	20021		"clothes, food"	1		2					0.00					
2/20/2003	21	20021			1							0.00					
3/18/2003	21	20021			2		3			1		0.00					
4/1/2003	21	20021					7					0.00					
5/20/2003	21	20021					5			1		0.00					
6/26/2003	21	20021			1		8					0.00					
9/2/2003	21	20021					9			1		0.00					
11/4/2003	21	20021					9					0.00					
10/12/2004	21	20021					4			1		0.00					
10/27/2004	21	20021					4					0.00					
1/27/2005	21	20021					3			1		0.00					
2/3/2005	21	20021					5					0.00					
