EE Provider ID	EE UID	Client Unique ID	Client ID	Client Age at Entry	Client Age at Exit	Client Gender	Client Primary Race	Client Ethnicity	Client Veteran Status
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	687968	jhif12071939j500h520	381869	75	75	Female	White (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	687969	kjnf01191975k516j520	397313	40	40	Female	Black or African American (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	687970	amdf07161973a420m235	185069	42	42	Female	Black or African American (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	687973	pswf10261963p362s620	399028	51	52	Female	White (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	687974	ssef07191965s410s315	361024	50	50	Female	Black or African American (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	687975	aslm02221970a415s462	324453	45	45	Male	Black or African American (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	687982	cohf02011960c530o355	395548	55	55	Female	Black or African American (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688348	wbam07171966w450b650	393111	49	49	Male	White (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688349	wdvm11221964w400d120	379956	50	50	Male	Black or African American (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688350	kfom03291989k150f462	397202	26	26	Male	Black or African American (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688352	rfrm06071966r240f630	251488	49	49	Male	Black or African American (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688353	rhym06251954r150h200	395541	61	61	Male	Black or African American (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688357	jhim10091961j160h520	381870	53	53	Male	White (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688359	ahdm01191962a415h320	392383	53	53	Male	Black or African American (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688361	jjcm07251979j150j250	318262	36	36	Male	Black or African American (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688362	tmtm07191957t520m320	381470	58	58	Male	Black or African American (HUD)	Non-Hispanic/Non-Latino (HUD)	Yes (HUD)
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688363	csnm11301988c623s524	309651	26	26	Male	Black or African American (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688365	dwom08041978d640w320	333120	37	37	Male	Black or African American (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688366	wbsf12081963w530b200	373187	51	52	Female	White (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688367	ybuf11221969y453b326	362567	45	45	Female	White (HUD)	Hispanic/Latino (HUD)	No (HUD)
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688368	cbwf05101957c645b420	158414	58	58	Female	White (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688369	tclf10151991t200c400	401630	23	23	Female	Black or African American (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688370	ekaf09131961e450k516	401763	53	53	Female	White (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688371	tkuf12011960t620k451	314853	54	54	Female	White (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688372	clnf07121973c623l520	400077	42	42	Female	White (HUD)	Data not collected (HUD)	No (HUD)
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688378	mtof06051963m520t520	386115	52	52	Female	Black or African American (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688395	kbtm07131957k640b352	399904	58	58	Male	Black or African American (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688396	abam05181974a412b653	394031	41	41	Male	Black or African American (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688397	bcmm11301974b400c565	402258	40	40	Male	Black or African American (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688398	ddam04221992d130d616	403050	23	23	Male	American Indian or Alaska Native (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688403	ddkm12061967d150d220	383149	47	47	Male	Black or African American (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688405	ghrm10261976g620h635	387590	38	38	Male	Black or African American (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688406	jlem07261968j160l000	403483	47	47	Male	Black or African American (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688408	rlom05011950r543l300	224787	65	65	Male	Black or African American (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688410	rlom01081964r543l300	225552	51	51	Male	Black or African American (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688413	gmrm08241953g600m650	392386	61	62	Male	American Indian or Alaska Native (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688414	smom09231995s500m600	262238	19	19	Male	Black or African American (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688415	rmrm06041956r263m620	384147	59	59	Male	White (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688416	lpim11051951l530p412	403049	63	63	Male	Black or African American (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688417	rqim01121968r263q620	361597	47	48	Male	White (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688418	crnm07221992c642r500	365130	23	23	Male	White (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688419	hrym10231959h600r236	382672	55	56	Male	Black or African American (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688420	hsom12061972h643s252	397312	42	42	Male	White (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688427	vwlm03311981v524w452	156978	34	34	Male	Black or African American (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688496	hgrf06161964h450g625	398931	51	51	Female	White (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688497	krcf06291962k300r263	399459	53	53	Female	Black or African American (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688498	cbom04071962c465b650	384776	53	53	Male	Black or African American (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688502	cclm10171961c623c434	333631	53	53	Male	Black or African American (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688503	gcom05261963g635c160	166457	52	52	Male	Black or African American (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688505	mdum02261986m240d320	219392	29	29	Male	White (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688506	kdrm12171954k300d655	397427	60	60	Male	White (HUD)	Non-Hispanic/Non-Latino (HUD)	Yes (HUD)
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688532	pedm09021963p400e436	187276	51	51	Male	Black or African American (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688561	rhlm01241960r410h400	217836	55	55	Male	Black or African American (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688562	bhrm01101968b350h632	190759	47	47	Male	Black or African American (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688564	djhm10151956d242j525	397646	58	58	Male	Black or African American (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688566	klmm02161978k623l550	402256	37	37	Male	White (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688569	smlm03301954s540m415	296887	61	61	Male	Black or African American (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688570	msam12051979m300s160	381763	35	35	Male	White (HUD)	Non-Hispanic/Non-Latino (HUD)	Yes (HUD)
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688571	dtom12301973d500t512	195489	41	41	Male	Black or African American (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688572	jwlm02141955j520w452	143061	60	60	Male	Black or African American (HUD)	Non-Hispanic/Non-Latino (HUD)	Yes (HUD)
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688721	kcnm07201985k400c530	399250	30	30	Male	Black or African American (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688722	clem02131977c465l000	406857	38	38	Male	Black or African American (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688723	rgrm08211962r550g620	181734	52	53	Male	White (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688724	blem11211971b630l000	162076	43	43	Male	White (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688726	eklm08011990e640k400	208663	25	25	Male	Black or African American (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688727	jltm10031997j650l340	402257	22	22	Male	Black or African American (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688728	thrm10171984t652h620	407754	30	30	Male	Black or African American (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688729	bcnm04251957b620c552	407001	58	58	Male	White (HUD)	Non-Hispanic/Non-Latino (HUD)	Yes (HUD)
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688731	dcum03161963d650c140	405094	52	52	Male	White (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688733	mmtm07161964m650m324	319129	51	51	Male	Black or African American (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688734	rslm01211971r400s426	406576	44	44	Male	White (HUD)	Hispanic/Latino (HUD)	No (HUD)
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688735	rcrm05281947r263c600	330427	68	68	Male	Black or African American (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688737	ambm09111955a535m150	10107	59	59	Male	Black or African American (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688740	blnm02271951b400l500	167439	64	64	Male	Black or African American (HUD)	Non-Hispanic/Non-Latino (HUD)	Yes (HUD)
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688750	rhnm04081961r163h536	203783	54	54	Male	Black or African American (HUD)	Hispanic/Latino (HUD)	No (HUD)
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688751	llem01061957l600l000	351504	58	58	Male	Black or African American (HUD)	Non-Hispanic/Non-Latino (HUD)	Yes (HUD)
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688752	jlnm03211951j520l500	167911	64	64	Male	Black or African American (HUD)	Non-Hispanic/Non-Latino (HUD)	Yes (HUD)
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688753	flem04051964f430l000	316159	51	51	Male	Black or African American (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688754	rwlm03181964r254w452	402130	51	51	Male	Black or African American (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688755	lprm02161976l652p636	387703	39	39	Male	Black or African American (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688756	hrwm05121962h560r500	370346	53	53	Male	Black or African American (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688757	apum12021961a160p520	280121	53	53	Male	Black or African American (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688767	sadm04041963s310a536	403361	52	52	Male	Black or African American (HUD)	Non-Hispanic/Non-Latino (HUD)	Yes (HUD)
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688768	kfam06191978k150f626	403936	37	37	Male	White (HUD)	Non-Hispanic/Non-Latino (HUD)	Yes (HUD)
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688770	gbom05241965g626b650	373323	50	50	Male	American Indian or Alaska Native (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688777	fhwm04241971f636h400	404041	44	44	Male	Black or African American (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688780	pimm10111970p400i550	281794	44	44	Male	White (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688782	asom03261979a650s300	288078	36	36	Male	Black or African American (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688784	vptm05261962v525p355	253473	53	53	Male	Black or African American (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688785	esom09221958e430s324	128049	56	56	Male	Black or African American (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688788	crnm07221992c642r500	365130	23	23	Male	White (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688796	mbrm01261965m240b652	399024	50	50	Male	Black or African American (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688797	dbrm11191967d130b653	294505	47	47	Male	Black or African American (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688800	tpam03121976t500p625	408793	39	39	Male	Black or African American (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688803	tlnm11091974t650l536	169662	40	40	Male	Black or African American (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688804	cjnm05161982c642j525	368692	33	33	Male	Black or African American (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688805	jhrm11251957j520h622	395939	57	58	Male	White (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688806	bcmm11301974b400c565	402258	40	40	Male	Black or African American (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688807	cclm10171961c623c434	333631	53	53	Male	Black or African American (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688813	trbf10271990t500r152	172864	24	25	Female	Black or African American (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688821	evlf02121969e421v450	404523	46	46	Female	White (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688825	cdlf06121971c530d423	408496	44	44	Female	Black or African American (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688827	aprf10051971a535p600	278004	43	43	Female	Black or African American (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688829	acuf12011983a425c340	408494	31	31	Female	White (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688830	ktrf02031971k516t620	375893	44	44	Female	White (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688831	rjhf04061995r240j525	399340	20	20	Female	Black or African American (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688832	jwtf11171983j253w325	173737	31	32	Female	Black or African American (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688833	lrsf12151958l150r200	106155	56	56	Female	Black or African American (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688834	lmtf12171965l530m324	275835	49	50	Female	Black or African American (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688835	jlnf11081966j330l536	313400	48	48	Female	Black or African American (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688836	afaf08241984a240f652	260878	30	31	Female	White (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	689310	ddvf09031961d435d150	409235	53	53	Female	Black or African American (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	689313	rewm10271953r500e363	407019	61	61	Male	White (HUD)	Non-Hispanic/Non-Latino (HUD)	Yes (HUD)
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	689314	dmcm05051983d540m260	169422	32	32	Male	Black or African American (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	689315	asim04241973a350s560	409236	42	42	Male	White (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	689316	wtrm11011964w436t600	65851	50	50	Male	Black or African American (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	689317	gcum09151960g626c625	409062	34	34	Male	White (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	689728	kwif10091964k623w200	167279	50	50	Female	White (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	689730	jhlf07261988j245h400	373731	27	27	Female	Black or African American (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	689731	cclm10171961c623c434	333631	53	53	Male	Black or African American (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	689733	apum12021961a160p520	280121	53	53	Male	Black or African American (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	689734	rcam05241959r200c620	291392	56	56	Male	Black or African American (HUD)	Non-Hispanic/Non-Latino (HUD)	Yes (HUD)
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	689735	mjnm11161965m623j520	378313	49	49	Male	Black or African American (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	689736	tmkm12311958t650m200	103533	56	56	Male	Black or African American (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	689741	lwlm10211974l600w452	231530	40	40	Male	Black or African American (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	689745	lwlm10211974l600w452	231530	40	40	Male	Black or African American (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	690106	wbom01251964w450b620	123122	51	51	Male	White (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)
